T_K,J_exp,J_calc,J_sink,J_trap1,J_trap2,J_trap3,J_trap4,J_trap5
9.264599609375000000e+02,4.243820888602893440e+17,3.820814739927390080e+17,2.948872859303967360e+17,2.837746646662063125e+14,2.392774611193595500e+15,4.540802638325546400e+16,2.055521076444182720e+17,1.305476532154242240e+17
9.271700439453129547e+02,4.220817995871808640e+17,3.795530653882257280e+17,2.941575396040229760e+17,2.792025385700116562e+14,2.351734586030585500e+15,4.458699226127858400e+16,2.022788794465901760e+17,1.321455818623244000e+17
9.271700439453129547e+02,4.255593859818811520e+17,3.795530653882257280e+17,2.941575396040229760e+17,2.792025385700116562e+14,2.351734586030585500e+15,4.458699226127858400e+16,2.022788794465901760e+17,1.321455818623244000e+17
9.278800048828129547e+02,4.230465276564035200e+17,3.770690098994689920e+17,2.934751223060245120e+17,2.746928889547161250e+14,2.311327929080930000e+15,4.377968643163611200e+16,1.990413767363584000e+17,1.337379597385103840e+17
9.284295654296879547e+02,4.245628789774451840e+17,3.751648874741551360e+17,2.929668174672214400e+17,2.712284061662746562e+14,2.280316922559060000e+15,4.316055253862390400e+16,1.965503879515239360e+17,1.349682506095687200e+17
9.287513776506699514e+02,4.221976622942054400e+17,3.740760894664244480e+17,2.926961571852910720e+17,2.692366434734540312e+14,2.262529767463866000e+15,4.280603764467759200e+16,1.951132792059018240e+17,1.356850361874860960e+17
9.297700195312500000e+02,4.177119500526263680e+17,3.706637556823059840e+17,2.918730510436620160e+17,2.629803164051560938e+14,2.206709647810627250e+15,4.169424069491157600e+16,1.905930996552562240e+17,1.379485246359236800e+17
9.297700195312500000e+02,4.216478067627338880e+17,3.706637556823059840e+17,2.918730510436620160e+17,2.629803164051560938e+14,2.206709647810627250e+15,4.169424069491157600e+16,1.905930996552562240e+17,1.379485246359236800e+17
9.299172070312499727e+02,4.200283210255978240e+17,3.701787957783456640e+17,2.917621120583963520e+17,2.620877905031075625e+14,2.198758614934213750e+15,4.153605616311313600e+16,1.899467961145193280e+17,1.382743068988888800e+17
9.307099609375000000e+02,4.150079171205360000e+17,3.675954530904471040e+17,2.911917226135787520e+17,2.573214289043645312e+14,2.156338635725438500e+15,4.069272174008896000e+16,1.864905560868380800e+17,1.400239362069234240e+17
9.311800537109379547e+02,4.143802080515027840e+17,3.660880258773306240e+17,2.908766457922458240e+17,2.545298596726359062e+14,2.131529314378317250e+15,4.020001839972011200e+16,1.844621846511202240e+17,1.410571430281229920e+17
9.318104060246399740e+02,4.129756667050353920e+17,3.641040364711576960e+17,2.904880858602388480e+17,2.508400532744383750e+14,2.098787997436979000e+15,3.955054167339557600e+16,1.817753087095437760e+17,1.424353599729182240e+17
9.319572119140630093e+02,4.115405832310524800e+17,3.636461639498266880e+17,2.904013987782932480e+17,2.499867110665537188e+14,2.091221693997799250e+15,3.940053769099951200e+16,1.811532497569091520e+17,1.427555296733850880e+17
9.325999755859379547e+02,4.100891200926981120e+17,3.616602016665628160e+17,2.900382257997387520e+17,2.462774987519354375e+14,2.058357654328482750e+15,3.874936088922412800e+16,1.784465972019741440e+17,1.441533884546622080e+17
9.330799560546879547e+02,4.083162232221562880e+17,3.602050564032224640e+17,2.897913529177007360e+17,2.435477748302298750e+14,2.034208391487235250e+15,3.827140249100325600e+16,1.764505626514837120e+17,1.451913666562043520e+17
9.333099365234379547e+02,4.086272212394836480e+17,3.595078301376748800e+17,2.896730648938554240e+17,2.422398399704910000e+14,2.022637381519557250e+15,3.804239088819345600e+16,1.754941717325813440e+17,1.456887092125892480e+17
9.340200195312500000e+02,4.065403333787884800e+17,3.574100632926281600e+17,2.893539811102883200e+17,2.382811186381380312e+14,1.987683333841018000e+15,3.735159895602700800e+16,1.725918531966100480e+17,1.472118044435105600e+17
9.344899902343750000e+02,4.090991404481368320e+17,3.560349602464632960e+17,2.891536783959855360e+17,2.356803907080119688e+14,1.964735844839023250e+15,3.689833014494093600e+16,1.706833577671299200e+17,1.482166998328098880e+17
9.351999511718750000e+02,4.071146507473091200e+17,3.540049726122896640e+17,2.888892887969342080e+17,2.318205731117066250e+14,1.930734674162246750e+15,3.622756175126136800e+16,1.678446807238721600e+17,1.497232291432964160e+17
9.354399414062500000e+02,4.020880835449260160e+17,3.533234383002796160e+17,2.888035445043911680e+17,2.305226783149227500e+14,1.919306725459589000e+15,3.600219192998216400e+16,1.668895737265970240e+17,1.502312758562868480e+17
9.359100341796879547e+02,4.019757841329214720e+17,3.520192392928565760e+17,2.886595170159042560e+17,2.280255464634375938e+14,1.897354111764004000e+15,3.556978657328530000e+16,1.650481224546717760e+17,1.512184577601775360e+17
9.362238675631019760e+02,4.005107058144256640e+17,3.511485575673082240e+17,2.885633644337534720e+17,2.263584641723163125e+14,1.882698572644605750e+15,3.528111326502302400e+16,1.638187717483550080e+17,1.518774992397504960e+17
9.368599853515629547e+02,3.972004956823745280e+17,3.494236451630536960e+17,2.883983317705253120e+17,2.230383545161680625e+14,1.853553462143466500e+15,3.470767613272510800e+16,1.613657310128901440e+17,1.532023767075063680e+17
9.373299560546879547e+02,3.966674860604153600e+17,3.481592595223991040e+17,2.882838872732461440e+17,2.206001937763217500e+14,1.832161231286125000e+15,3.428694235973896000e+16,1.595631126033970560e+17,1.541784658142168000e+17
9.375699462890629547e+02,3.959015306807594240e+17,3.475289434988725120e+17,2.882365108903803520e+17,2.193779728453625312e+14,1.821453057196203000e+15,3.407657325428730800e+16,1.586577560378875840e+17,1.546724642721052800e+17
9.381600341796879547e+02,3.962451520382616960e+17,3.459903458884443520e+17,2.881281161599293440e+17,2.163894735565601562e+14,1.795281637945427500e+15,3.356259388963381600e+16,1.564427481576017600e+17,1.558838588148515840e+17
9.387787988281249909e+02,3.958936267425123840e+17,3.444091949559608320e+17,2.880368537418080640e+17,2.133040114441980625e+14,1.768291982155876000e+15,3.303301570811020800e+16,1.541524047244600960e+17,1.571443289519569280e+17
9.394599609375000000e+02,3.952839760078086400e+17,3.426949000319244800e+17,2.879545252461526080e+17,2.099468766716206250e+14,1.738951090243675750e+15,3.245768674278612400e+16,1.516575636426515520e+17,1.585238251767560000e+17
9.396999511718750000e+02,3.939289316254138240e+17,3.421081252623692160e+17,2.879370600083370560e+17,2.087900491748003438e+14,1.728856288035310500e+15,3.225998372366216000e+16,1.507960862862350080e+17,1.590043781028952960e+17
