T_K,J_exp,J_calc,J_sink,J_trap1,J_trap2,J_trap3,J_trap4,J_trap5
4.959051879882820231e+02,1.648687139952078080e+18,1.905953939234128640e+18,1.414222092953020928e+18,1.687660900923137280e+18,1.233064174585333600e+17,1.348585350232510000e+16,3.988942238780165625e+13,1.969657230855385208e+10
4.990000000000000000e+02,1.844487953735824896e+18,2.170627500672105216e+18,1.522803328169156608e+18,1.869669960000931840e+18,1.388869479828459840e+17,1.539669498339322800e+16,4.662619681194221094e+13,2.393746267345419312e+10
5.021235949707029818e+02,2.050219568236403456e+18,2.452294796496300032e+18,1.638791778106672384e+18,2.069715909801870080e+18,1.566692115859772800e+17,1.761560386722954200e+16,5.463647511615921875e+13,2.917065951428963852e+10
5.050838388296269841e+02,2.275510001297998080e+18,2.730492720075348992e+18,1.754827154955939328e+18,2.273683620730671616e+18,1.755710588367615360e+17,2.001843845955370400e+16,6.352736187344067969e+13,3.519500731171201324e+10
5.083900146484380116e+02,2.522777104681503232e+18,3.051482408645485056e+18,1.891541976919164672e+18,2.516498216476220928e+18,1.991589268944138880e+17,2.307852517182759600e+16,7.515305787632292188e+13,4.338587917085915375e+10
5.115999755859380116e+02,2.807543161901572096e+18,3.371434692145067008e+18,2.031831398916701440e+18,2.766092475504852992e+18,2.247813067032113920e+17,2.647927776711533200e+16,8.845479273064445312e+13,5.315970036358663177e+10
5.147723060021039601e+02,3.100900851799955456e+18,3.693700534993613824e+18,2.177846371232846848e+18,3.024131838132081152e+18,2.528552948446084480e+17,3.029180145171156000e+16,1.038037195951283594e+14,6.491324003568934631e+10
5.176500244140629547e+02,3.413693670754469888e+18,3.990140746081026560e+18,2.316738852656951296e+18,3.266438992449942528e+18,2.808156482935699840e+17,3.417371943971722800e+16,1.198680767438920312e+14,7.770391483857897949e+10
5.207699804687499636e+02,3.719479045099000832e+18,4.315226026553053184e+18,2.474466863188270592e+18,3.536523086141565440e+18,3.140144721445809920e+17,3.888810614813974400e+16,1.399290155379069062e+14,9.431900474830711365e+10
5.236900024414060226e+02,4.045703798849265664e+18,4.622518513346606080e+18,2.628865079350329856e+18,3.794821026595195904e+18,3.479542455146561920e+17,4.381772958696224800e+16,1.614944275459580312e+14,1.128921262988860931e+11
5.264535958426349680e+02,4.397621612368210432e+18,4.915884037317538816e+18,2.781087987881804800e+18,4.043079371978821120e+18,3.827929564360648960e+17,4.898589619558391200e+16,1.846921162855515000e+14,1.336100531847654266e+11
5.296099853515629547e+02,4.785985613016203264e+18,5.253994837030522880e+18,2.962474643637762560e+18,4.329973488552666112e+18,4.261468024475182720e+17,5.556379377841384000e+16,2.150338017552049375e+14,1.617828928660932922e+11
5.325599975585939774e+02,5.180417696566238208e+18,5.572892498474010624e+18,3.139151269006705664e+18,4.600122721667813376e+18,4.702826045313162880e+17,6.241224159743975200e+16,2.474857290201156875e+14,1.930948044282120361e+11
5.359904101562500500e+02,5.593730541875758080e+18,5.947326536599790592e+18,3.353489467003905536e+18,4.915301621225962496e+18,5.264636946954558080e+17,7.133839668208088800e+16,2.909913002690962500e+14,2.368050514256894836e+11
5.387099609375000000e+02,5.977222683308299264e+18,6.246850051586776064e+18,3.530126532535461888e+18,5.164907429797488640e+18,5.749729328162176000e+17,7.921784398737246400e+16,3.304068668741334375e+14,2.779173846356791382e+11
5.419100341796879547e+02,6.371288404751768576e+18,6.602227858300474368e+18,3.745687088618142720e+18,5.457061151109354496e+18,6.370184602153070080e+17,8.951491867213795200e+16,3.832198406676619375e+14,3.350391540167478027e+11
5.450042161207940126e+02,6.752244128630367232e+18,6.948553010535251968e+18,3.961967310415760384e+18,5.736636170080292864e+18,7.025241326729946880e+17,1.006335307703154240e+17,4.417342900862544375e+14,4.007483678532765503e+11
5.481099877929690365e+02,7.152510237987642368e+18,7.298407465894233088e+18,4.186783846747331072e+18,6.012914304781915136e+18,7.742305893000359680e+17,1.130770333139300480e+17,5.088715241964526250e+14,4.789374987537416382e+11
5.510000000000000000e+02,7.517746081244203008e+18,7.625437620318845952e+18,4.402895461621020160e+18,6.264676660596840448e+18,8.468102383239028480e+17,1.259458924131211520e+17,5.799674477652417500e+14,5.646685012268909912e+11
5.536999511718750000e+02,7.891162320580707328e+18,7.931687260619547648e+18,4.610688018447343616e+18,6.494037014340506624e+18,9.200918009876157440e+17,1.392016611870014880e+17,6.547942408223421250e+14,6.578051793877259521e+11
5.571300048828129547e+02,8.237894949811607552e+18,8.320817275614675968e+18,4.882789579048126464e+18,6.775264357305938944e+18,1.021516281235615232e+18,1.579638069320802560e+17,7.632223941902815000e+14,7.975346873105683594e+11
5.605599975585939774e+02,8.610903393793774592e+18,8.708724567441712128e+18,5.163685356990522368e+18,7.042719999326575616e+18,1.132999016308010624e+18,1.791129597107859520e+17,8.886142040721472500e+14,9.653541743068905029e+11
5.632500000000000000e+02,8.962342659652358144e+18,9.011089060280303616e+18,5.390001688835253248e+18,7.240910147041203200e+18,1.228125531770963712e+18,1.975800169317242240e+17,1.000605879527863750e+15,1.120320931341941406e+12
5.667692166841950439e+02,9.291251053608833024e+18,9.402758278792151040e+18,5.693740373100945408e+18,7.482272218423974912e+18,1.363592453113235712e+18,2.245218121378104320e+17,1.167766989334977000e+15,1.359568147359165283e+12
5.694542142427890212e+02,9.599233579298064384e+18,9.697659112022435840e+18,5.930968484632744960e+18,7.651202874304030720e+18,1.475763316815745280e+18,2.473753229240080000e+17,1.312703709416886750e+15,1.573799944829088135e+12
5.727900390625000000e+02,9.882386433349533696e+18,1.005774316866206106e+19,6.232189600201624576e+18,7.839533885222215680e+18,1.626945818023308288e+18,2.789694916359463040e+17,1.517557318247056500e+15,1.886595589416477295e+12
5.759599609375000000e+02,1.015853223066626662e+19,1.039234440778628096e+19,6.524477825709680640e+18,7.994658744345832448e+18,1.783130373347930880e+18,3.125222618588158720e+17,1.740165153509557750e+15,2.238092062384579102e+12
5.788900146484379547e+02,1.048915194399655731e+19,1.069393529538048205e+19,6.799520248414697472e+18,8.115212772075986944e+18,1.939057758226164736e+18,3.469437563686758400e+17,1.973523197112910500e+15,2.618292006983306641e+12
5.818099975585939774e+02,1.077568026837310874e+19,1.098624632391242752e+19,7.077854654374344704e+18,8.211804245020021760e+18,2.106027909660936192e+18,3.848249562085710720e+17,2.235712482168963500e+15,3.058411787879643555e+12
5.849799804687500000e+02,1.107256613090319155e+19,1.129338681626305126e+19,7.384294034452715520e+18,8.288251050443342848e+18,2.300923230280897792e+18,4.303890081128840320e+17,2.557985171326771000e+15,3.616409107007888672e+12
5.881638653094960318e+02,1.131284473441715405e+19,1.159050476110252851e+19,7.695927126271778816e+18,8.333792216223471616e+18,2.511336705874226688e+18,4.812266463208376960e+17,2.925761362204680000e+15,4.273855721791734863e+12
5.908200073242189774e+02,1.154136388530472141e+19,1.182919582880922010e+19,7.958386322853213184e+18,8.346667866125014016e+18,2.698443928578970624e+18,5.279148989405822720e+17,3.270686190340313000e+15,4.908842512462112305e+12
